(datetime.datetime(2024, 2, 20, 10, 46, 47, 148715), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 10, 48, 42, 996840), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 12, 4, 16, 612132), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 12, 38, 7, 382647), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 12, 39, 42, 396827), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 12, 47, 26, 910362), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 12, 50, 6, 187313), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 12, 54, 1, 310245), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 12, 54, 29, 474078), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 13, 1, 33, 211001), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 17, 3, 277999), ('tireworld-spiky-2', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 30, 25, 60710), ('acrobatics', 'p1', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 30, 25, 168736), ('acrobatics', 'p4', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 30, 25, 273794), ('acrobatics', 'p6', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 30, 25, 378697), ('acrobatics', 'p7', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 30, 25, 484534), ('acrobatics', 'p5', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 30, 25, 591164), ('acrobatics', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 30, 25, 697723), ('acrobatics', 'p3', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 33, 24, 124459), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 55, 12, 879469), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 14, 58, 1, 531859), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 15, 4, 23, 901181), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 15, 13, 14, 63394), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 15, 43, 20, 358671), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 15, 46, 7, 278068), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 15, 51, 36, 738550), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 16, 1, 52, 858995), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 16, 11, 0, 177905), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 16, 15, 38, 115878), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 16, 21, 13, 557175), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 16, 24, 48, 176084), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 17, 24, 55, 675559), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 17, 28, 8, 962799), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 17, 30, 9, 964941), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 17, 47, 32, 569863), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 8, 19, 212873), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 11, 59, 619088), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 25, 52, 75792), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 33, 52, 729023), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 36, 24, 39318), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 39, 28, 526178), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 42, 9, 284803), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 43, 0, 749011), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 18, 59, 41, 532817), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 19, 2, 31, 768911), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 20, 19, 5, 40, 426890), ('blocksworld-original', 'p2', 'neural-network-lookup', 'trie-star', 'test,v2024-02-20'))
(datetime.datetime(2024, 2, 21, 12, 24, 3, 35871), ('tireworld-spiky-2', 'p3', 'delta-nearest', 'trie-star', 'test,v2024-02-21'))
(datetime.datetime(2024, 2, 21, 12, 24, 58, 368120), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-21'))
(datetime.datetime(2024, 2, 21, 12, 45, 39, 269378), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-21'))
(datetime.datetime(2024, 2, 21, 12, 53, 30, 599913), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-21'))
(datetime.datetime(2024, 2, 21, 13, 19, 53, 891402), ('tireworld-spiky-2', 'p2', 'delta-nearest', 'trie-star', 'test,v2024-02-21'))
(datetime.datetime(2024, 2, 21, 13, 20, 11, 474621), ('tireworld-spiky-2', 'p3', 'delta-nearest', 'trie-star', 'test,v2024-02-21'))
(datetime.datetime(2024, 2, 21, 13, 20, 21, 397482), ('tireworld-spiky-2', 'p4', 'delta-nearest', 'trie-star', 'test,v2024-02-21'))
